feature,importance
"categorical__industry_description_ Cable, noninsulated wire, made from purchased wire",0.0006745410143560999
"categorical__industry_description_ Distribution line, sewer and water, construction",0.000663967926116602
categorical__industry_description_Metal motor vehicle body parts stamping,0.0006632231155565309
"categorical__industry_description_Alcoholic beverage, wine, and distilled spirits merchant wholesaler",0.0006628561453555312
categorical__industry_description_ Cheese (except cottage cheese) manufacturing,0.00066266383355146
"categorical__industry_description_ Shipyard (i.e., facility capable of building ships)",0.0006605826428118461
categorical__industry_description_ Supermarkets,0.0006575460458094281
"categorical__industry_description_ Cutting dies, metalworking, manufacturing",0.0006533705667574004
"categorical__industry_description_Trucking, general freight, local",0.0006497098039220578
categorical__industry_description_Multi Craft,0.0006480880563454189
categorical__industry_description_ New car dealers,0.0006402774508200344
"categorical__industry_description_ Automobile auctions, wholesale",0.0006391241426764503
categorical__industry_description_Petrochemical plant construction,0.0006302640412879748
"categorical__industry_description_ Batters, prepared, made from purchased flour",0.0006276162142192248
categorical__industry_description_Law Enforcement,0.0006180708204428322
categorical__industry_description_Guard services,0.0006134674248419161
categorical__industry_description_General Warehousing and Storage,0.0006072314011173111
categorical__industry_description_Truck bodies assembling on purchased chassis,0.0006066800222919443
categorical__industry_description_Electrical Equipment wholsaler,0.0006022183838003695
"categorical__industry_description_ Compressor, metering and pumping station, gas and oil pipeline, construction",0.0005983017917045282
categorical__industry_description_ Metal scrap and waste merchant wholesalers,0.000595840406064927
categorical__industry_description_ Structural steel erecting or iron work contractors,0.0005847957610746703
categorical__industry_description_Environmental remediation services,0.0005825199228549003
"categorical__industry_description_ Bakery products, dry (e.g., biscuits, cookies, crackers), manufacturing",0.0005707296970233241
"categorical__industry_description_ Aluminum castings (except die-castings), unfinished, manufacturing",0.0005601781220636807
categorical__industry_description_MOTELS/HOTELS,0.0005539008469353315
"categorical__industry_description_ Doors and door frames, plastics, manufacturing",0.0005525409692124021
categorical__industry_description_Ash collection services,0.0005523073804529624
categorical__industry_description_Transportation & Warehousing,0.000551970511891425
categorical__industry_description_Full service restaurants,0.0005426664159279026
"categorical__industry_description_ Beverages, alcoholic (except distilled spirits, wine), merchant wholesalers",0.0005344799196867391
"categorical__industry_description_ Lead smelting and refining, primary",0.00053193326755681
"categorical__industry_description_ Aluminum die-castings, unfinished, manufacturing",0.0005318386344143454
categorical__state_VT,0.0005316907796749437
"categorical__industry_description_ Iron castings, unfinished, manufacturing",0.0005313640634219707
"categorical__industry_description_ Hammer forgings made from purchased iron or steel, unfinished",0.0005313206220457293
categorical__industry_description_Building materials supply dealers,0.0005254694790103222
categorical__industry_description_ Assisted-living facilities without on-site nursing care facilities,0.0005231797806697733
categorical__industry_description_Electric power distribution systems,0.0005199017686557405
categorical__state_KY,0.0005152085687419014
"categorical__industry_description_ Metal products (e.g., bars, ingots, plates, rods, shapes, sheets) merchant wholesalers",0.0005151019818041746
categorical__industry_description_Hotels,0.0005124087095283329
categorical__industry_description_ Grain elevators merchant wholesalers grain,0.0005069057225245254
categorical__industry_description_Heavy trucks assembling on chassis of own manufacture,0.0004979590172416238
categorical__state_SD,0.0004966167711281962
categorical__industry_description_ Machine shops,0.00048592374073620006
categorical__industry_description_Automobiles assembling on chassis of own manufacture,0.00047880412984596747
"categorical__industry_description_ Automobile carrier trucking, long-distance",0.0004768385757528177
"categorical__industry_description_ Thrift shops, used merchandise",0.00047448874850839997
"categorical__industry_description_Hotels (except casino hotels) with golf courses, tennis courts, and/or other health spa facilities (i.e., resorts)",0.0004721998381099911
categorical__industry_description_Supermarket,0.00046971481436876067
categorical__industry_description_Furniture & Home Furnishing merchants wholesaler,0.00046574438600352247
"categorical__industry_description_Health insurance carriers, direct",0.0004633118391325192
"categorical__industry_description_ General freight trucking, long-distance, less-than-truckload (LTL)",0.00046315363680262637
categorical__industry_description_ Oil refinery construction,0.00046048676765726064
"categorical__industry_description_ Licensing of transportation equipment, facilities, and services",0.0004600216852677705
categorical__industry_description_ Natural science museums,0.00045347706210155473
"categorical__industry_description_ Amusement parks (e.g., theme, water)",0.00045156405975518154
"categorical__industry_description_ Home centers, building materials",0.00045036352337248826
"categorical__industry_description_HVAC (heating, ventilation and air-conditioning) contractors",0.0004495472145344924
categorical__industry_description_Couriers and express delivery services,0.0004421294004370055
"categorical__industry_description_ Offset printing (except books, printing grey goods)",0.000442038947928714
categorical__industry_description_ Cold storage warehousing,0.0004405923691082239
"categorical__industry_description_ Trucking, specialized freight (except used goods), local",0.000440284861327466
categorical__state_AK,0.00043917248596297227
categorical__industry_description_Corporate offices,0.00043865038509750175
categorical__industry_description_Grocery Stores,0.0004365905208287188
"categorical__industry_description_ Cannery, seafood",0.00043514699411301345
categorical__industry_description_ Steel manufacturing,0.00043324135795935693
categorical__industry_description_Other Grocery and Related Products Merchant Wholesalers,0.0004331158551870938
categorical__industry_description_ Home health care agencies,0.0004294021226777284
"categorical__industry_description_ Container trucking services, local",0.0004271151268040755
"categorical__industry_description_ Food, prepared, perishable, packaged for individual resale",0.0004255995198973012
categorical__industry_description_Boat Dealers,0.00042408775793148853
categorical__industry_description_Air-conditioning and warm air heating combination units manufacturing,0.0004229916745293137
"categorical__industry_description_ Colleges, universities, and professional schools",0.000415018413919731
categorical__industry_description_Hotels (except casino hotels),0.00041328902770595657
"categorical__industry_description_Croissants, baking, made in commercial bakeries",0.0004044053274881933
categorical__industry_description_General warehousing and storage,0.0004034539807306175
categorical__industry_description_Janitorial Services,0.00039881612917489525
categorical__industry_description_ Marine cargo handling services,0.0003947487960923814
"categorical__industry_description_ Petroleum, crude, production (i.e., extraction)",0.00039077248805500614
categorical__industry_description_FLUID MILK MANUFACTURING,0.00039041921210822555
categorical__industry_description_Automotive parts and accessories stores,0.000384554428248383
categorical__industry_description_Janitorial Contractor,0.0003761818533973061
categorical__industry_description_Food Distribution and Warehouse,0.00036670514405577907
categorical__state_WY,0.00034897503722241163
"categorical__industry_description_ Grass mowing equipment, powered lawn and garden, manufacturing",0.0003435303437310941
"categorical__industry_description_ Recyclable materials (e.g., glass, metal, paper) merchant wholesalers",0.0003434556923763683
categorical__industry_description_Department stores (except discount department stores),0.0003361677834769698
categorical__industry_description_Industrial Laundry,0.0003328936930347325
"categorical__industry_description_Elevator and escalator installation, modernizaiton, repair and maintenance",0.0003276593933825146
categorical__industry_description_Assisted-living facilities with on-site nursing facilities,0.00032462233133971196
categorical__industry_description_Public utility holding companies,0.0003232847287015956
"categorical__industry_description_ Insurance carriers, property and casualty, direct",0.00031928701824018044
"categorical__industry_description_ Trucking, general freight, local",0.0003150100606299897
categorical__industry_description_Other Animal Food Manufacturing,0.00031056314285790647
categorical__industry_description_General stores,0.00030064892778625373
