annual_average_employees,total_hours_worked,naics_code,industry_description,establishment_type,size,state,fatal_incident,source
55,105945.0,333922,beltconveyorsystemsmanufacturing,1.0,2,OH,0,OSHA_ITA_2016
79,164320.0,325510,architecturalcoatingsepaintmanufacturing,1.0,2,IL,0,OSHA_ITA_2016
13,22041.0,221122,distributionelectricpower,1.0,1,PA,0,OSHA_ITA_2016
482,1120289.0,621493,freestandingambulatorysurgicalcentersclinics,1.0,3,FL,0,OSHA_ITA_2016
10,16742.0,221122,distributionelectricpower,1.0,1,PA,0,OSHA_ITA_2016
43,90659.0,325193,denaturedalcoholmanufacturing,1.0,2,SD,0,OSHA_ITA_2016
46,88583.0,325920,gunpowdermanufacturing,1.0,2,KS,0,OSHA_ITA_2016
127,256173.0,541711,biotechnologyresearchdevelopmentlaboratoriesservices,1.0,2,FL,0,OSHA_ITA_2016
10667,8413698.0,424120,cardsgreetingmerchantwholesalers,1.0,3,MO,0,OSHA_ITA_2016
133,255698.0,511110,newspaperpublishersexceptexclusiveinternetpublishing,1.0,2,NH,0,OSHA_ITA_2016
415,863200.0,622110,generalmedicalsurgicalhospitals,1.0,3,KY,0,OSHA_ITA_2016
20,33923.0,325920,gunpowdermanufacturing,1.0,2,KS,0,OSHA_ITA_2016
40,72635.0,238220,firesprinklersysteminstallation,1.0,2,TX,0,OSHA_ITA_2016
265,413960.0,623311,continuingcareretirementcommunities,1.0,3,GA,0,OSHA_ITA_2016
470,876336.0,331410,primaryrefiningnonferrousmetalsexceptaluminum,1.0,3,PA,0,OSHA_ITA_2016
88,185843.0,332710,machineshops,1.0,2,TX,0,OSHA_ITA_2016
74,588982.0,327215,insulatingglasssealedunitsmadepurchasedglass,1.0,2,TN,0,OSHA_ITA_2016
50,99803.0,333514,jigsfixturesusemachinetoolsmanufacturing,1.0,2,CT,0,OSHA_ITA_2016
27,63180.0,326112,flexiblepackagingplasticsfilmmanufacturing,1.0,2,WI,0,OSHA_ITA_2016
266,389725.0,442299,homefurnishingsstores,1.0,3,TX,0,OSHA_ITA_2016
203,416700.0,321920,boxeswoodmanufacturing,1.0,2,MA,0,OSHA_ITA_2016
68,95548.0,551114,centralizedadministrativeoffices,1.0,2,MO,0,OSHA_ITA_2016
37,79112.0,321920,boxeswoodmanufacturing,1.0,2,MA,0,OSHA_ITA_2016
175,361066.0,336330,rackpinionsteeringassembliesmanufacturing,1.0,2,OH,0,OSHA_ITA_2016
20,38666.0,321214,rooftrusseswoodmanufacturing,1.0,2,MI,0,OSHA_ITA_2016
300,639631.0,238210,electricalcontractors,1.0,3,GA,0,OSHA_ITA_2016
